Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.363340 , GPU Power: 59.127003 W , Interval: 10055 us ,Call: 1 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.376318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 23 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.377318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 24 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.378317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 25 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.379317 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 26 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.380317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 27 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.381318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 28 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.382317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 29 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.383318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 30 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.384317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 31 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.385317 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 32 , 
